epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.5829,3.51895,7.82252,1.88178,0.59967,0.25157,0.18053,0.0871,3.37379,3.26319,1.72237,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557
2,142.415,3.09793,3.56858,1.60863,0.39461,0.50143,0.38414,0.16789,2.93967,1.79995,1.5185,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572
3,183.7,2.84315,2.27692,1.46505,0.497,0.57258,0.52136,0.21916,2.83207,1.49766,1.4898,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588
4,223.453,2.7692,1.8539,1.43387,0.60955,0.61255,0.58342,0.25959,2.6485,1.40007,1.41599,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,263.522,2.65862,1.60535,1.39759,0.6001,0.62993,0.62776,0.28294,2.66215,1.31394,1.41784,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,302.975,2.63328,1.49311,1.3966,0.61372,0.70287,0.6461,0.29432,2.63495,1.26178,1.41087,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,342.519,2.61613,1.45225,1.39068,0.62653,0.68518,0.66501,0.30557,2.63053,1.21689,1.40667,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,382.981,2.6055,1.39272,1.37695,0.62675,0.71053,0.66649,0.30356,2.62166,1.20235,1.40453,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,423.013,2.55979,1.35108,1.35477,0.64299,0.72655,0.69722,0.32191,2.58796,1.17208,1.39127,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,463.006,2.54373,1.32915,1.35389,0.65846,0.72667,0.70444,0.33625,2.55985,1.18771,1.38329,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,503.02,2.53926,1.29391,1.3595,0.6604,0.74193,0.72368,0.3458,2.58799,1.1547,1.38931,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,543.377,2.51716,1.26259,1.35109,0.64715,0.77011,0.70606,0.33757,2.55753,1.16289,1.38494,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,583.292,2.46781,1.24311,1.3632,0.67358,0.74272,0.7116,0.32242,2.60793,1.18129,1.3896,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,623.412,2.46429,1.24922,1.34116,0.65286,0.73152,0.71412,0.33165,2.56289,1.15561,1.39104,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,663.009,2.44314,1.22494,1.33848,0.63387,0.74887,0.71111,0.32393,2.5549,1.20042,1.39146,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,703.089,2.468,1.22549,1.33717,0.67387,0.73427,0.71861,0.32308,2.60596,1.15116,1.39423,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,742.747,2.44682,1.19085,1.32743,0.66156,0.72298,0.68451,0.31001,2.59078,1.18115,1.39852,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,782.238,2.42872,1.17115,1.33253,0.65395,0.72311,0.71047,0.33289,2.60476,1.18543,1.39409,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,822.076,2.41281,1.15053,1.33715,0.64723,0.74086,0.70771,0.3291,2.61212,1.15411,1.39781,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,862.176,2.4104,1.14049,1.32115,0.69806,0.70569,0.70668,0.3281,2.60698,1.15175,1.39468,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,902.002,2.39965,1.14554,1.32076,0.655,0.72321,0.72239,0.33164,2.62814,1.15131,1.40089,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
