epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,75.2238,3.09254,4.63461,2.06913,0.50628,0.28424,0.19486,0.08982,2.88145,2.22717,1.76752,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557,0.000904671,0.000301557
2,110.93,2.64826,2.24604,1.67351,0.3818,0.47415,0.38572,0.17009,2.67788,1.46175,1.55301,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572,0.00179572,0.000598572
3,143.116,2.51658,1.63874,1.52801,0.5673,0.51835,0.51006,0.21363,2.60615,1.22791,1.50533,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588,0.00266876,0.000889588
4,174.066,2.45713,1.44279,1.47259,0.57506,0.64647,0.59309,0.25724,2.46369,1.15002,1.44507,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,204.751,2.36355,1.27885,1.42467,0.61636,0.65486,0.6412,0.27712,2.50443,1.12168,1.45463,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,235.732,2.35555,1.2263,1.42079,0.64414,0.71208,0.65912,0.29702,2.48059,1.06844,1.41884,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,266.631,2.31796,1.20536,1.4073,0.65015,0.70103,0.65084,0.28752,2.48091,1.05996,1.41316,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,297.684,2.32308,1.18078,1.40014,0.65183,0.72076,0.66668,0.29291,2.48643,1.0439,1.42345,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,328.467,2.29778,1.14607,1.38349,0.68072,0.73465,0.68476,0.29644,2.46519,1.03809,1.41277,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,359.167,2.25681,1.1212,1.37285,0.65226,0.77191,0.71261,0.32276,2.4455,1.02464,1.41477,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,390.365,2.24848,1.09721,1.37689,0.65407,0.77099,0.69729,0.31115,2.45013,1.02857,1.39831,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,421.284,2.22359,1.08717,1.36636,0.64934,0.74479,0.70695,0.31433,2.46126,1.00415,1.40704,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,451.939,2.21356,1.06479,1.37978,0.68106,0.74931,0.71642,0.32202,2.44769,1.02353,1.40808,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,482.972,2.19826,1.06992,1.35664,0.6746,0.7515,0.69855,0.31093,2.44155,1.00705,1.40954,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,513.818,2.17284,1.04778,1.35044,0.66384,0.75037,0.7111,0.32345,2.43262,1.01688,1.40329,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,544.923,2.19216,1.03632,1.34865,0.67473,0.74913,0.69699,0.312,2.43895,1.01964,1.40312,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,575.902,2.17969,1.03428,1.34172,0.68015,0.74777,0.71086,0.32872,2.43078,0.99986,1.38926,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,606.577,2.1571,1.01694,1.34496,0.70164,0.72449,0.71622,0.32724,2.41819,1.01854,1.38911,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,637.65,2.14032,1.00604,1.34409,0.68058,0.72961,0.721,0.33125,2.42248,1.01556,1.38895,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,668.756,2.12857,0.99718,1.3292,0.67996,0.74418,0.70781,0.32479,2.39488,1.0023,1.37372,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,699.33,2.1217,0.99785,1.32809,0.66091,0.75537,0.72326,0.32683,2.46786,1.00592,1.39898,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,730.095,2.09647,0.97744,1.33042,0.69458,0.73451,0.74093,0.3354,2.4559,1.00045,1.40823,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,760.855,2.10659,0.97683,1.31629,0.68773,0.72835,0.72514,0.32845,2.43342,1.0145,1.38382,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,791.786,2.06998,0.95532,1.31226,0.70279,0.73211,0.7222,0.33077,2.43742,1.00906,1.38594,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,822.586,2.04836,0.94082,1.29926,0.68772,0.73243,0.72845,0.33618,2.44416,1.01023,1.38652,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,853.274,2.05265,0.94717,1.30387,0.72334,0.72451,0.74056,0.33209,2.42664,1.00846,1.38046,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,883.937,2.06366,0.93654,1.30847,0.70107,0.77286,0.7443,0.32956,2.48316,1.0108,1.39365,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
28,915.08,2.03303,0.91868,1.29632,0.69745,0.76272,0.73526,0.33403,2.46397,0.98851,1.3999,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
29,945.924,2.02092,0.91739,1.30836,0.69353,0.73836,0.71896,0.32315,2.45352,0.99802,1.39831,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
30,976.838,2.02675,0.91868,1.29914,0.73185,0.73485,0.73305,0.33054,2.44796,1.03092,1.39873,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,1007.42,2.00795,0.90509,1.29305,0.68996,0.73176,0.71153,0.32729,2.44534,1.01181,1.39889,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,1038.5,1.98188,0.89446,1.28355,0.70484,0.72668,0.72085,0.33646,2.44782,0.98584,1.39614,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,1069.09,1.96868,0.88745,1.28384,0.69187,0.71483,0.69293,0.31504,2.45004,1.00811,1.39829,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
34,1099.78,1.95136,0.87462,1.27574,0.70987,0.73981,0.71086,0.31926,2.4471,1.00565,1.39802,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,1130.71,1.96428,0.886,1.27896,0.74114,0.71945,0.73266,0.32919,2.43381,1.0122,1.39185,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,1161.92,1.93249,0.86984,1.27571,0.69782,0.75491,0.70516,0.3097,2.49663,1.03036,1.4086,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,1193.39,1.9256,0.85181,1.26891,0.76232,0.71354,0.73399,0.33465,2.48868,1.00075,1.41663,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,1224.07,1.92619,0.85163,1.27559,0.7091,0.75676,0.73276,0.33004,2.49115,1.00972,1.40744,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,1254.67,1.94641,0.86729,1.27487,0.71907,0.72565,0.72545,0.32231,2.47161,1.01617,1.41651,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,1285.52,1.90832,0.84474,1.25941,0.70646,0.72232,0.73047,0.33577,2.47305,1.0024,1.40403,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,1316.05,1.88784,0.83177,1.25858,0.70122,0.69989,0.71059,0.31694,2.48624,1.024,1.42467,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
42,1346.98,1.87642,0.82799,1.25665,0.70652,0.72165,0.71959,0.32854,2.47866,1.02591,1.40928,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,1378.01,1.87919,0.82825,1.25716,0.68863,0.73391,0.71375,0.31955,2.49505,1.03561,1.42402,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
44,1409.17,1.85852,0.82287,1.25356,0.71896,0.7664,0.72974,0.32461,2.4866,1.01374,1.4135,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,1439.97,1.84427,0.81448,1.24373,0.71527,0.74517,0.72913,0.32862,2.51793,1.03149,1.43507,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,1470.78,1.84382,0.81061,1.24454,0.69577,0.76069,0.72916,0.32536,2.49307,1.03501,1.42474,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,1501.56,1.82561,0.80391,1.24761,0.66075,0.72716,0.69716,0.30891,2.52024,1.05315,1.43971,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,1532.55,1.84111,0.81115,1.24121,0.70373,0.72175,0.71472,0.31924,2.52923,1.03764,1.43267,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,1563.63,1.79305,0.78188,1.23785,0.68165,0.74465,0.71918,0.31804,2.51748,1.04311,1.44192,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,1594.47,1.78774,0.78234,1.23599,0.69715,0.73128,0.72684,0.31569,2.55014,1.03534,1.4418,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,1625.32,1.78694,0.77414,1.23235,0.71189,0.73822,0.72525,0.32564,2.55927,1.03542,1.45022,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
52,1656.45,1.77704,0.76983,1.2255,0.70915,0.72818,0.71584,0.322,2.53643,1.05022,1.44079,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
53,1687.56,1.77417,0.76869,1.23232,0.72178,0.74201,0.72671,0.31706,2.51257,1.03368,1.4368,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
54,1718.49,1.75091,0.77183,1.22658,0.70866,0.75283,0.71847,0.31565,2.50292,1.03546,1.44092,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
55,1749.31,1.7637,0.76142,1.22428,0.70811,0.71648,0.71905,0.31379,2.52549,1.03828,1.44361,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
56,1780.16,1.76076,0.76177,1.22447,0.71937,0.70999,0.70058,0.31252,2.52069,1.06168,1.44531,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
57,1810.8,1.74312,0.7636,1.22308,0.71323,0.68622,0.6936,0.30468,2.53076,1.06657,1.4309,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
