epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,796.372,2.00893,0.90616,1.29934,0.71786,0.69212,0.72883,0.32836,2.47457,1.04766,1.40995,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
31,822.259,1.98888,0.89952,1.29103,0.6914,0.74258,0.72386,0.3244,2.47143,1.01417,1.41434,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
32,847.956,1.98755,0.89465,1.28787,0.70199,0.71241,0.72166,0.3287,2.45844,1.00605,1.41638,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028,0.00189008,0.000630028
33,873.822,1.97415,0.88746,1.2887,0.70813,0.72796,0.73439,0.33226,2.49392,1.01835,1.41753,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029,0.00186309,0.000621029
34,899.497,1.95262,0.86561,1.2796,0.75137,0.66487,0.72412,0.32809,2.4781,1.01696,1.42077,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203,0.00183609,0.00061203
35,925.27,1.96591,0.88561,1.28497,0.69145,0.7154,0.72264,0.32212,2.47613,1.02589,1.41944,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031,0.00180909,0.000603031
36,951.034,1.92739,0.86418,1.27886,0.73675,0.71046,0.73148,0.32143,2.50621,1.02648,1.42715,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031,0.00178209,0.000594031
37,977.227,1.92404,0.8528,1.27105,0.72107,0.71206,0.73376,0.33145,2.4923,1.0105,1.43669,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032,0.0017551,0.000585032
38,1002.87,1.92787,0.8484,1.27992,0.73276,0.69137,0.73158,0.3289,2.51311,1.01879,1.43973,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033,0.0017281,0.000576033
39,1028.52,1.94386,0.86211,1.27798,0.71522,0.69798,0.72374,0.32601,2.50783,1.01983,1.43722,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034,0.0017011,0.000567034
40,1054.37,1.9137,0.84546,1.26377,0.74342,0.67783,0.72929,0.3203,2.526,1.02714,1.45568,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035,0.00167411,0.000558035
41,1079.66,1.87304,0.82315,1.25972,0.73434,0.65839,0.72813,0.32475,2.50142,1.02505,1.45051,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
42,1105.31,1.88398,0.82732,1.26572,0.73239,0.67212,0.70809,0.31192,2.53574,1.04164,1.46008,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037,0.00162011,0.000540037
43,1130.87,1.87235,0.82437,1.25749,0.7233,0.67797,0.7073,0.31304,2.52184,1.05693,1.44158,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038,0.00159311,0.000531038
44,1156.85,1.87384,0.82298,1.25887,0.73209,0.68991,0.71026,0.31715,2.52181,1.02845,1.44295,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039,0.00156612,0.000522039
45,1182.67,1.85204,0.81387,1.24923,0.71929,0.6839,0.71313,0.31669,2.56327,1.05578,1.45445,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304,0.00153912,0.00051304
46,1208.62,1.85771,0.81273,1.25052,0.73714,0.7106,0.70993,0.3163,2.53338,1.04244,1.43819,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404,0.00151212,0.00050404
47,1234.19,1.83712,0.80587,1.25092,0.71454,0.68105,0.7102,0.31507,2.50976,1.04318,1.4455,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041,0.00148512,0.000495041
48,1259.99,1.86134,0.82102,1.24733,0.7029,0.71401,0.69915,0.30821,2.55365,1.0394,1.45656,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042,0.00145813,0.000486042
49,1285.77,1.80133,0.78582,1.24299,0.72535,0.69554,0.7169,0.31728,2.53843,1.04353,1.45089,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043,0.00143113,0.000477043
50,1311.43,1.81085,0.78928,1.24233,0.69,0.69941,0.70235,0.31241,2.55403,1.05343,1.4575,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044,0.00140413,0.000468044
51,1336.85,1.79649,0.78357,1.24038,0.68497,0.69449,0.7123,0.30923,2.53777,1.04909,1.45636,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
52,1363.11,1.79631,0.77476,1.23351,0.71621,0.65593,0.70345,0.31331,2.55799,1.06144,1.46436,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046,0.00135014,0.000450046
53,1388.93,1.78309,0.77216,1.23949,0.71501,0.68255,0.69944,0.3042,2.56368,1.06075,1.46705,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047,0.00132314,0.000441047
54,1415.06,1.7837,0.78328,1.23643,0.71625,0.68048,0.70887,0.31571,2.52489,1.04865,1.45756,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048,0.00129614,0.000432048
55,1440.74,1.77745,0.77229,1.23156,0.70109,0.69653,0.71395,0.31579,2.54894,1.05945,1.46703,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049,0.00126915,0.000423049
56,1466.69,1.77892,0.77198,1.2312,0.69889,0.69009,0.71711,0.31124,2.54389,1.07915,1.46453,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049,0.00124215,0.000414049
57,1492.52,1.77212,0.76871,1.23371,0.68064,0.7015,0.70605,0.30581,2.55398,1.07032,1.45918,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505,0.00121515,0.00040505
58,1518.45,1.73918,0.75536,1.21966,0.70334,0.69492,0.69856,0.30686,2.56094,1.07158,1.47283,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051,0.00118815,0.000396051
59,1544.07,1.74529,0.75231,1.23037,0.69959,0.68087,0.69448,0.30349,2.5682,1.06007,1.47334,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052,0.00116116,0.000387052
60,1570.14,1.73125,0.7564,1.22783,0.72681,0.6597,0.70188,0.307,2.55089,1.06642,1.46863,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053,0.00113416,0.000378053
61,1595.54,1.73637,0.75186,1.22895,0.69773,0.66542,0.69518,0.30664,2.55425,1.09187,1.47847,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
62,1621.34,1.72271,0.73457,1.21606,0.71341,0.67229,0.69212,0.30816,2.55477,1.05857,1.47465,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055,0.00108016,0.000360055
63,1646.76,1.73022,0.74592,1.21844,0.72972,0.67979,0.71775,0.32058,2.53784,1.05868,1.47324,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056,0.00105317,0.000351056
64,1672.8,1.71334,0.73339,1.20927,0.73975,0.68649,0.70692,0.31433,2.55067,1.06016,1.47364,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057,0.00102617,0.000342057
65,1698.38,1.73519,0.75812,1.22421,0.74041,0.67926,0.71147,0.3189,2.54743,1.05901,1.48224,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058,0.000999173,0.000333058
66,1723.99,1.68955,0.72214,1.21243,0.72153,0.68373,0.7072,0.3187,2.53127,1.05685,1.47337,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058,0.000972175,0.000324058
67,1749.69,1.70977,0.73322,1.21555,0.71789,0.68902,0.70515,0.31885,2.55649,1.05746,1.48503,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059,0.000945178,0.000315059
68,1775.69,1.68888,0.7303,1.21001,0.69899,0.67871,0.69673,0.30659,2.56977,1.06191,1.48426,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606,0.000918181,0.00030606
69,1801.72,1.67968,0.72632,1.20994,0.72911,0.68156,0.70361,0.30681,2.54876,1.05396,1.4841,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061,0.000891184,0.000297061
70,1827.64,1.68132,0.71669,1.21247,0.7373,0.67699,0.69672,0.30396,2.56586,1.08263,1.48431,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062,0.000864186,0.000288062
71,1853.62,1.66539,0.70637,1.20538,0.73653,0.67067,0.69026,0.30253,2.56468,1.0736,1.48107,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
72,1879.64,1.65192,0.71531,1.20666,0.73499,0.63873,0.68912,0.30069,2.56465,1.09429,1.48381,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064,0.000810192,0.000270064
73,1905.5,1.63446,0.70692,1.20719,0.72992,0.67893,0.69418,0.30515,2.57263,1.07526,1.48073,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065,0.000783194,0.000261065
74,1931.36,1.65145,0.7079,1.20185,0.69535,0.67503,0.68512,0.29773,2.58527,1.07495,1.48604,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066,0.000756197,0.000252066
75,1956.98,1.6349,0.69835,1.19373,0.70889,0.66471,0.68404,0.29815,2.5771,1.08906,1.49398,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067,0.0007292,0.000243067
76,1982.94,1.61544,0.68761,1.19913,0.66775,0.67541,0.67871,0.29939,2.59942,1.10606,1.49829,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068,0.000702202,0.000234068
77,2008.52,1.60479,0.67765,1.19654,0.7237,0.65317,0.68568,0.2985,2.60663,1.08572,1.49818,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068,0.000675205,0.000225068
78,2034.27,1.65046,0.70104,1.19468,0.68902,0.65938,0.69259,0.30694,2.5766,1.08057,1.48947,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069,0.000648208,0.000216069
79,2060.12,1.62338,0.69604,1.20057,0.68438,0.68172,0.69444,0.30872,2.57323,1.0776,1.49309,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707,0.000621211,0.00020707
80,2085.91,1.62632,0.70161,1.19173,0.72294,0.65402,0.68587,0.30539,2.59056,1.09875,1.49108,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071,0.000594213,0.000198071
81,2111.1,1.59231,0.675,1.19029,0.73231,0.68049,0.69913,0.31066,2.59175,1.08022,1.49388,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
82,2136.66,1.62654,0.6946,1.19304,0.72791,0.66306,0.69532,0.30674,2.58827,1.07323,1.48693,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073,0.000540219,0.000180073
